MatchID,BatterID,DismissalID,DismissalText,BowlerID,FielderID
5777975,11111116,4,b O Klaus,11399615.0,
5777975,11190911,2,c & b O Klaus,11399615.0,11399615.0
5777975,11190934,2,c T Staal b H Overdijk,11399616.0,11399629.0
5777975,11393693,2,c  ?  b C Floyd,11862290.0,11901541.0
5777975,11394587,2,c,11901541.0,11194179.0
5777975,11394588,4,b C Floyd,11862290.0,
5777975,11394589,1,no,,
5777975,11394591,5,st L Lagas b O Klaus,11399615.0,11194179.0
5777975,11394592,3,lbw  b C Floyd,11862290.0,
5777975,11394599,4,b O Klaus,11399615.0,
5777975,11400079,3,lbw  b H Overdijk,11399616.0,
5777975,-102,1,no,,
5777975,-101,1,no,,
5777975,11391641,2,c C Knoll b A Zaidi,11394591.0,11190911.0
5777975,11399613,6,ro (S Potdar),,11394592.0
5777975,11399620,2,c R Ramesh Babu b D Arya,11394589.0,11190934.0
5777975,11399629,2,c R Ramesh Babu b C Knoll,11190911.0,11190934.0
5777976,11111292,3,lbw  b Y Usman,11192212.0,
5777977,11111179,2,c PP Borren b L Hartsink,11193579.0,11193724.0
5777977,11111188,2,c V Singh b A Abid,11193647.0,11193669.0
5777977,11111199,2,c BN Cooper b A Raja,11399939.0,11193661.0
5777977,11111217,2,c PP Borren b A Raja,11399939.0,11193724.0
5777977,11191510,1,no,,
5777977,11191513,2,c  ?  b L Turmaine,11399930.0,
5777977,11191518,6,ro,,
5777977,11191530,4,b L Hartsink,11193579.0,
5777977,11191537,3,lbw  b A Raja,11399939.0,
5777977,11403872,7,hw  b L Hartsink,11193579.0,
5777977,11403873,5,st M Lees b A Raja,11399939.0,11399940.0
5777977,11193566,3,lbw  b W Masood,11191530.0,
5777977,11399934,3,lbw  b F Hoseinbaks,11111188.0,
5777977,11399940,1,no,,
5777977,11862138,1,no,,
5777979,11112670,2,c,11407027.0,
5777979,11193244,2,c,,
5777979,11193259,2,c,,
5777979,11193340,6,ro,,
5777979,11383372,2,c,,
5777979,11383375,4,b,,
5777979,11383379,1,no,,
5777979,11383380,4,b,11407027.0,
5777979,11383383,4,b,,
5777979,-108,2,c C Rutgers b J Schoonheim,11383382.0,11383380.0
5777979,-106,2,c M Forget b P Seelaar,11383383.0,11383375.0
5777979,-105,2,c M Forget b P Seelaar,11383383.0,11383375.0
5777979,-104,2,c Sv Wingerden b A Jain,11383378.0,11193340.0
5777979,-103,3,lbw  b J Schoonheim,11383382.0,
5777979,-102,3,lbw  b A Jain,11383378.0,
5777979,-101,1,no,,
5777979,11193383,1,no,,
5777980,11116111,2,c MA Raza b D Arya,11394589.0,11190891.0
5777980,11193361,1,no,,
5777980,11193370,2,c MA Raza b S Kothari,11394599.0,11190891.0
5777980,11193380,3,lbw  b MA Raza,11190891.0,
5777980,11193415,2,c C Burnett b S Potdar,11394592.0,11394587.0
5777980,11193420,2,c & b S Kothari,11394599.0,11394599.0
5777980,11193534,4,b MA Raza,11190891.0,
5777980,11392356,1,no,,
5777980,11111120,6,ro,,
5777980,11111131,2,c B Leede de b S Mulder,11392358.0,11193420.0
5777980,11190891,4,b S Mulder,11392358.0,
5777980,11190911,4,b S Mulder,11392358.0,
5777980,11190934,2,c B Leede de b S Mulder,11392358.0,11193420.0
5777980,11394587,2,c A Ahmad b P Boissevain,11193361.0,11392368.0
