MatchID,BatterID,DismissalID,DismissalText,BowlerID,FielderID
6848428,11399613,1,no,,
6848428,11399629,2,c C Fraser b J Snoep,11290496.0,11979082.0
6848428,11862354,1,no,,
6848428,11862355,2,c R Mudford b J Snoep,11290496.0,11866001.0
6848428,11111332,2,c D Crowley b A Leonard,11862356.0,11619253.0
6848428,11111550,2,c YJ Patel b D Crowley,11619253.0,11194218.0
6848428,11392370,1,no,,
6848428,11617390,2,c YJ Patel b H Overdijk,11399616.0,11194218.0
6848428,11866000,1,no,,
6848428,11866001,2,c B Gorlee b TAD Leijer,11864827.0,11399613.0
6848428,11900880,2,c B Gorlee b A Leonard,11862356.0,11399613.0
6848428,11979082,2,c  ?  b H Overdijk,11399616.0,11396786.0
6848429,11192709,6,ro,,
6848429,11193244,6,ro,,
6848429,11383378,2,c NRJ Croes b M Molenaar,11812783.0,11854467.0
6848429,11383382,12,of,,
6848429,11391030,2,c NRJ Croes b T Leede de,11193417.0,11854467.0
6848429,11510260,6,ro,,
6848429,11859291,2,c G Kaplan b F Lange de,11193415.0,11384036.0
6848429,11859687,4,b M Molenaar,11812783.0,
6848429,11859688,1,no,,
6848429,11859689,4,b F Lange de,11193415.0,
6848429,11193361,3,lbw  b J Schoonheim,11383382.0,
6848429,11193381,2,c AF Hoseinbaks b J McKenzie,11859688.0,11403873.0
6848429,11193413,2,c A JAIN b A Jain,11383378.0,11192709.0
6848429,11193415,1,no,,
6848429,11193417,2,c Jvd Meulen b A JAIN,11192709.0,11859687.0
6848429,11384036,2,c Jvd Meulen b AF Hoseinbaks,11403873.0,11859687.0
6848429,11392348,2,c Jvd Meulen b AF Hoseinbaks,11403873.0,11859687.0
6848429,11392357,1,no,,
6848429,11812783,5,st F Fourie b A Jain,11383378.0,11391030.0
6848429,11854467,2,c Td Kok b J Schoonheim,11383382.0,11193244.0
6848431,11194440,6,ro (S Zulfiqar),,11192213.0
6848431,11194452,1,no,,
6848431,11194489,2,c MN Ahmad b S Zulfiqar,11192213.0,11391641.0
6848431,11298677,1,no,,
6848431,11404048,6,ro (S Butt),,11193117.0
6848431,11404050,4,b S Kamal,11392354.0,
6848431,11756715,2,c M Riaz b S Minhas,11617917.0,11403792.0
6848431,11862334,2,c S Butt b S Kamal,11392354.0,11193117.0
6848431,11862335,2,c M Shafiq b S Tariq,11192210.0,11617919.0
6848431,11192213,2,c & b L Botha,11862334.0,11862334.0
6848431,11192223,2,c LD Bianco b L Botha,11862334.0,11756715.0
6848431,11193117,1,no,,
6848431,11391641,2,c & b L Botha,11862334.0,11862334.0
6848431,11392354,1,no,,
6848431,11394552,4,b E Boendermaker,11194461.0,
6848431,11403792,2,c & b M Villiers De,11862335.0,11862335.0
6848431,11617917,2,c A Khan b E Boendermaker,11194461.0,11194489.0
6848431,11617919,2,c & b M Villiers De,11862335.0,11862335.0
6848431,11859217,4,b L Botha,11862334.0,
6848432,11193669,1,no,,
6848432,11862138,1,no,,
6848433,-101,4,b C Floyd,11862290.0,
6848433,11111550,3,lbw  b B Fletcher,11862142.0,
6848433,11111557,2,c B Fletcher b T Iles,11862144.0,11862142.0
6848433,11111561,4,b S Ahmad,11191797.0,
6848433,11111711,3,lbw  b E Eales,11862143.0,
6848433,11178284,1,no,,
6848433,11191600,2,c S Ahmad b C Floyd,11862290.0,11191797.0
6848433,11290496,4,b B Fletcher,11862142.0,
6848433,11414154,2,c T Iles b S Ahmad,11191797.0,11862144.0
6848433,11866000,2,c D Prince b E Eales,11862143.0,11862145.0
6848433,11866001,2,c & b T Iles,11862144.0,11862144.0
6848433,11191797,1,no,,
6848433,11625298,4,b,11862134.0,
6848433,11625306,3,lbw,11862134.0,
6848433,11862138,4,b,11862134.0,
6848433,11862145,2,c S Martina b T Hoornweg,11178284.0,11866000.0
6848433,11862290,1,no,,
6848434,11192213,2,c R Thapliyal b O Elenbaas,11407023.0,11861207.0
6848434,11193117,2,c R Elenbaas b N Woermeijer,11617335.0,11407024.0
6848434,11391641,2,c S Braat b O Elenbaas,11407023.0,11407027.0
6848434,11394552,2,c N Statham b N Woermeijer,11617335.0,11407022.0
6848434,11403792,1,no,,
6848434,11617917,2,c S Braat b A Jabarkhail,11857734.0,11407027.0
6848434,11859217,1,no,,
6848434,11407022,2,c S Zulfiqar b B Niaz,11382373.0,11192213.0
6848434,11407023,2,c B Niaz b S Tariq,11192210.0,11382373.0
6848434,11407024,2,c MN Ahmad b S Tariq,11192210.0,11391641.0
6848434,11407027,2,c MN Ahmad b B Niaz,11382373.0,11391641.0
6848434,11617335,2,c M Shafiq b S Zulfiqar,11192213.0,11617919.0
6848434,11617906,2,c S Zulfiqar b S Tariq,11192210.0,11192213.0
6848434,11617907,2,c M Riaz b MN Ahmad,11391641.0,11403792.0
6848434,11857734,1,no,,
6848434,11859287,2,c J Vandiar b B Niaz,11382373.0,11394552.0
6848434,11859288,2,c M Riaz b B Niaz,11382373.0,11403792.0
6848434,11861207,2,c MN Ahmad b S Zulfiqar,11192213.0,11391641.0
6848435,11190891,2,c T Walbrugh b Jd Mey,11194440.0,11298677.0
6848435,11192283,2,c R Mason b B Boddendijk,11404047.0,11404050.0
6848435,11394589,1,no,,
6848435,11394591,2,c T Walbrugh b Jd Mey,11194440.0,11298677.0
6848435,11394592,2,c M Villiers De b L Botha,11862334.0,11862335.0
6848435,11394599,2,c LD Bianco b A Singh,11381351.0,11756715.0
6848435,11403866,3,lbw  b M Villiers De,11862335.0,
6848435,11617280,4,b A Singh,11381351.0,
6848435,11862357,2,c L Botha b M Villiers De,11862335.0,11862334.0
6848435,11862358,2,c R Mason b B Boddendijk,11404047.0,11404050.0
6848435,11862359,2,c L Botha b B Boddendijk,11404047.0,11862334.0
6848435,11194440,4,b G Sheena,11862357.0,
6848435,11194461,3,lbw,11192282.0,
6848435,11194489,4,b S Kothari,11394599.0,
6848435,11298677,2,c S Potdar b D Arya,11394589.0,11394592.0
6848435,11381351,1,no,,
6848435,11404047,4,b D Arya,11394589.0,
6848435,11404048,2,c M Hans b S Kothari,11394599.0,11617280.0
6848435,11404050,2,c M Hans b G Sheena,11862357.0,11617280.0
6848435,11756715,2,c R Ahmed b S Kothari,11394599.0,11403866.0
6848435,11862334,2,c & b I Sayed,11862359.0,11862359.0
6848435,11862335,2,c Bvd Merwe b I Sayed,11862359.0,11862358.0
6848436,11193361,1,no,,
6848436,11193381,4,b J Ralston,11862283.0,
6848436,11193413,4,b V Lubbers,11403951.0,
6848436,11384036,2,c T Etman b N Etman,11382040.0,11382041.0
6848436,11392357,2,c R Verhagen b J Ralston,11862283.0,11382053.0
6848436,11812783,1,no,,
6848436,11854467,4,b J Ralston,11862283.0,
6848436,11191642,2,c & b P Boissevain,11193361.0,11193361.0
6848436,11191716,4,b G Kaplan,11384036.0,
6848436,11381929,2,c F Lange de b T Leede de,11193417.0,11193415.0
6848436,11382040,1,no,,
6848436,11382041,2,c P Boissevain b MV Van Vliet,11619273.0,11193361.0
6848436,11382053,4,b P Boissevain,11193361.0,
6848436,11403951,1,no,,
6848436,11855810,2,c P Boissevain b F Lange de,11193415.0,11193361.0
6848437,11194169,4,b A Jain,11383378.0,
6848437,11194218,1,no,,
6848437,11399613,4,b A Jain,11383378.0,
6848437,11399616,4,b J McKenzie,11859688.0,
6848437,11399629,2,c A Jain b R Upadhyaya,11383386.0,11383378.0
6848437,11403987,1,no,,
6848437,11619253,2,c R Schierhout b AF Hoseinbaks,11403873.0,11859689.0
6848437,11862354,6,ro (R Harhangi),,11136654.0
6848437,11862355,2,c J McKenzie b R Upadhyaya,11383386.0,11859688.0
6848437,11136654,1,no,,
6848437,11192709,2,c J Wiggins b H Overdijk,11399616.0,11862354.0
6848437,11193244,2,c B Gorlee b TAD Leijer,11864827.0,11399613.0
6848437,11383378,2,c J Wiggins b TAD Leijer,11864827.0,11862354.0
6848437,11383386,4,b,11396786.0,
6848437,11391030,2,c C McInerney b A Leonard,11862356.0,11862355.0
6848437,11403873,2,c D Crowley b C McInerney,11862355.0,11619253.0
