season_id,season_text,grade_id,grade_name,grade_short_name,sport_id,gender_id,agegroup_id,association_name,rounds
11,2020,73934,Eerste Klasse,EK,,,,Koninklijke Nederlandse Cricket Bond,
11,2020,71375,Hoofdklasse,HK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9
11,2020,71381,Live Score Test,LST,,,,Koninklijke Nederlandse Cricket Bond,1
11,2020,71374,Topklasse,TK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9
11,2020,71378,Topklasse Twenty20,TK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|QF|SF|GF
11,2020,71399,Training Grade,TG,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7
11,2020,73401,U15 Finales,,,,,Koninklijke Nederlandse Cricket Bond,1|SF|GF
11,2020,73417,U17 Finales,U17 Finales,,,,Koninklijke Nederlandse Cricket Bond,1|GF
11,2020,73130,Women's T20 Day,,,,,Koninklijke Nederlandse Cricket Bond,1|2
12,2021,76370,Cricket Fights Cancer,CFC 2021,,,,Koninklijke Nederlandse Cricket Bond,1
12,2021,73941,Derde Klasse,3e Klasse,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9
12,2021,73934,Eerste Klasse,EK,,,,Koninklijke Nederlandse Cricket Bond,2|3|4|5|6|7|8|9|10
12,2021,76369,Flamingo Junioren Toernooi,FJT,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8
12,2021,71375,Hoofdklasse,HK,,,,Koninklijke Nederlandse Cricket Bond,2|3|4|5|6|7|8|9|10|11
12,2021,76517,KNCB Practice matches,KNCB PM,,,,Koninklijke Nederlandse Cricket Bond,1|2
12,2021,73945,Lagere Klassen Twenty20,LK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|SF|GF
12,2021,71381,Live Score Test,LST,,,,Koninklijke Nederlandse Cricket Bond,1|2
12,2021,76036,Men's Pro Series,Men's Pro Series,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|6|8|9|10|11|12
12,2021,76594,Netherlands Men's A International Series,Nehterlands A,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
12,2021,76104,Netherlands Women's Intersquad,Intersquad,,,,Koninklijke Nederlandse Cricket Bond,1|2
12,2021,75878,Netherlands vs Ireland Super League Series,,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
12,2021,75716,Netherlands vs Scotland ODI Series,ODI,,,,Koninklijke Nederlandse Cricket Bond,1|2
12,2021,79484,Non KNCB Matches,NKM,,,,Koninklijke Nederlandse Cricket Bond,
12,2021,74672,Pre-season,Pre-S,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4
12,2021,76801,Qui Vive Premier League,QPL,,,,Koninklijke Nederlandse Cricket Bond,SF|GF
12,2021,71374,Topklasse,TK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|SF|PF|GF
12,2021,71378,Topklasse Twenty20,TK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|QF|SF|GF
12,2021,71399,Training Grade,TG,,,,Koninklijke Nederlandse Cricket Bond,1
12,2021,73940,Tweede Klasse,2e Klasse,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9
12,2021,75916,U11 HB,U11 HB,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|SF|PF|GF
12,2021,75917,U11 HB WO,U11 HB WO,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5
12,2021,75915,U11 ZB,U11 ZB,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6
12,2021,75914,U13,U13,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|SF|GF
12,2021,75913,U15,U15,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|SF|GF
12,2021,75988,U15 Extra,U15 Extra,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7
12,2021,73401,U15 Finales,,,,,Koninklijke Nederlandse Cricket Bond,
12,2021,75943,U17,U17,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|SF|GF
12,2021,73417,U17 Finales,U17 Finales,,,,Koninklijke Nederlandse Cricket Bond,
12,2021,73942,Vierde Klasse,4e Klasse,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9
12,2021,74760,Vrouwen Hoofdklasse,VHK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10
12,2021,75993,Vrouwen T20,VT20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12
12,2021,73130,Women's T20 Day,,,,,Koninklijke Nederlandse Cricket Bond,
