match_id,external_match_id,association_id,season_id,grade_id,grade_name,date1,date2,date3,date4,start_time1,venue_id,venue_name,venue_address,venue_lat,venue_long,toss_won_by,batted_first,allow_live_score,follow_on,score_text,leader_text,g_sort_order,um_pire1,um_pire2,config___type,config_allow_match_bonus,config_balls_per_over,config_bat_lim_ball_per_bat,config_bat_lim_over_per_pair,config_bat_lim_runs_per_bat,config_bat_limit_id,config_bowl_lim_over_per_bwl,config_bowl_limit_id,config_bowl_limit_max_ball_over,config_change_strike_wkt,config_dismissal_mode,config_dismissal_penalty,config_dismissal_penalty_mode,config_max_overs,config_max_pen_wkt_batter,config_nb_value,config_nbs_as_bf,config_pen_runs_per_wkt,config_rebowl_nb,config_rebowl_wd,config_rebowl_wd_nb,config_starting_runs,config_wide_value,config_wides_as_bf,team1_is_home,team1_team_name,team1_team_id,team1_entity_id,team1_result_id,team1_result_type,team1_runs,team1_wickets,team1_overs_bowled,team1_extras,team1_leg_byes,team1_wides,team1_no_balls,team2_is_home,team2_team_name,team2_team_id,team2_entity_id,team2_result_id,team2_result_type,team2_runs,team2_wickets,team2_overs_bowled,team2_extras,team2_leg_byes,team2_wides,team2_no_balls
5777975,0,134453,11,71374,Topklasse,2020-07-05 10:00:00,,,,,0,Sportpark 't Loopveld,Aanloop 3,52.31912,4.8843,HCC,ACC,True,False,ACC 166 def. by HCC 169/4,HCC won by 6 wickets,1,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,50.0,,1,True,0,3,3,True,0,1,False,True,ACC,,134454,21608740,LOST FIRST INNINGS (ONE DAY),166.0,10.0,47.5,16.0,4.0,8.0,0.0,False,HCC,,134461.0,21608741.0,WON FIRST INNINGS (ONE DAY),169.0,4.0,34.5,9.0,1.0,7.0,1.0
5777976,0,134453,11,71374,Topklasse,2020-07-05 10:00:00,,,,,0,Sportpark Craeyenhout,Daal en Bergselaan 1B,52.07404,4.24912,Punjab-Ghausia,HBS,True,False,HBS 126 def. by Punjab-Ghausia 132/4,Punjab-Ghausia won by 6 wickets,1,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,50.0,,1,True,0,3,3,True,0,1,False,True,HBS,,134457,21608742,LOST FIRST INNINGS,126.0,10.0,44.1,19.0,0.0,16.0,0.0,False,Punjab-Ghausia,,134462.0,21608743.0,WON FIRST INNINGS,132.0,4.0,21.1,29.0,5.0,20.0,0.0
5777977,0,134453,11,71374,Topklasse,2020-07-05 10:00:00,,,,,0,Sportpark Drieburg,Drieburgpad 5,52.34101,4.93149,VRA,Dosti,True,False,Dosti 55 def. by VRA 56/2,VRA won by 8 wickets,1,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,50.0,,1,True,0,3,3,True,0,1,False,True,Dosti,,134455,21608744,LOST FIRST INNINGS (ONE DAY),55.0,10.0,26.4,6.0,1.0,5.0,0.0,False,VRA,,134466.0,21608745.0,WON FIRST INNINGS (ONE DAY),56.0,2.0,11.0,11.0,0.0,11.0,0.0
5777978,0,134453,11,71374,Topklasse,2020-07-05 10:00:00,,,,,0,Sportpark Thurlede,Parkweg 415-417,51.9327,4.39525,unknown,unknown,True,False,Match Abandoned,Match Abandoned,1,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,50.0,,1,True,0,3,3,True,0,1,False,True,Excelsior'20,,134456,21608746,MATCH ABANDONED,,,,,,,,False,Sparta,,134463.0,21608747.0,MATCH ABANDONED,,,,,,,
5777979,0,134453,11,71374,Topklasse,2020-07-05 10:00:00,,,,,0,Schiebroekse Park,Hazelaarweg 7,51.97019,4.48035,VCC,VOC,True,False,VOC 152 def. by VCC 155/6,VCC won by 4 wickets,1,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,50.0,,1,True,0,3,3,True,0,1,False,True,VOC,,134464,21608748,LOST FIRST INNINGS,152.0,10.0,40.0,31.0,3.0,15.0,0.0,False,VCC,,134465.0,21608749.0,WON FIRST INNINGS,155.0,6.0,38.2,13.0,2.0,11.0,0.0
5777980,0,134453,11,71374,Topklasse,2020-07-12 10:00:00,,,,,0,Sportpark Westvliet,Groene Zoom 20,52.0682,4.37525,ACC,ACC,True,False,VCC 200/6 def. ACC 196/9,VCC won by 4 wickets,1,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,50.0,,1,True,0,3,3,True,0,1,False,True,VCC,,134465,21608750,WON FIRST INNINGS (ONE DAY),200.0,6.0,0.0,14.0,1.0,10.0,3.0,False,ACC,,134454.0,21608751.0,LOST FIRST INNINGS (ONE DAY),196.0,9.0,50.0,19.0,1.0,12.0,1.0
5777981,0,134453,11,71374,Topklasse,2020-07-12 10:00:00,,,,,0,De Diepput,Van Hogenhoucklaan 37,52.09602,4.32358,HCC,HCC,True,False,HCC 80 def. Dosti 50,HCC won by 30 runs,1,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,50.0,,1,True,0,3,3,True,0,1,False,True,HCC,,134461,21608752,WON FIRST INNINGS (ONE DAY),80.0,10.0,30.0,9.0,5.0,2.0,1.0,False,Dosti,,134455.0,21608753.0,LOST FIRST INNINGS (ONE DAY),50.0,10.0,21.0,4.0,2.0,2.0,0.0
5777982,0,134453,11,71374,Topklasse,2020-07-12 10:00:00,,,,,0,Het Schollebos,Bermweg 141,51.94308,4.5902,VOC,VOC,True,False,Sparta 48/3 def. VOC 46/9,Sparta won by 7 wickets,1,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,50.0,,1,True,0,3,3,True,0,1,False,True,Sparta,,134463,21608754,WON FIRST INNINGS (ONE DAY),48.0,3.0,7.2,2.0,0.0,1.0,0.0,False,VOC,,134464.0,21608755.0,LOST FIRST INNINGS (ONE DAY),46.0,9.0,23.6,9.0,0.0,9.0,0.0
5777983,0,134453,11,71374,Topklasse,2020-07-12 10:00:00,,,,,0,Zomercomplex,Zuiderparkweg 608,51.86658,4.47821,Punjab-Ghausia,Excelsior'20,True,False,Punjab-Ghausia 192/5 def. Excelsior'20 186,Punjab-Ghausia won by 5 wickets,1,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,50.0,,1,True,0,3,3,True,0,1,False,True,Punjab-Ghausia,,134462,21608756,WON FIRST INNINGS (ONE DAY),192.0,5.0,34.4,16.0,3.0,7.0,0.0,False,Excelsior'20,,134456.0,21608757.0,LOST FIRST INNINGS (ONE DAY),186.0,10.0,48.0,23.0,6.0,15.0,0.0
5777984,0,134453,11,71374,Topklasse,2020-07-12 10:00:00,,,,,0,Amsterdamse Bos,Nieuwe Kalfjeslaan 21B,52.31898,4.85117,VRA,VRA,True,False,VRA 276/8 def. HBS 193,VRA won by 83 runs,1,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,50.0,,1,True,0,3,3,True,0,1,False,True,VRA,,134466,21608758,WON FIRST INNINGS,276.0,8.0,50.0,20.0,3.0,16.0,1.0,False,HBS,,134457.0,21608759.0,LOST FIRST INNINGS,193.0,10.0,49.1,6.0,0.0,5.0,0.0
5777985,0,134453,11,71374,Topklasse,2020-07-19 10:00:00,,,,,0,Sportpark Westvliet,Groene Zoom 20,52.0682,4.37525,HCC,HCC,True,False,VCC 148 def. by HCC 235/7,HCC won by 87 runs,1,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,50.0,,1,True,0,3,3,True,0,1,False,True,VCC,,134465,21608760,LOST FIRST INNINGS (ONE DAY),148.0,10.0,46.5,5.0,0.0,5.0,0.0,False,HCC,,134461.0,21608761.0,WON FIRST INNINGS (ONE DAY),235.0,7.0,50.0,18.0,0.0,15.0,3.0
